,노드링크 유형,시군구명,읍면동명,위도,경도
201,LINK,강남구,논현동,37.513147890073846,127.02070964119139
202,LINK,강남구,역삼동,37.50049311257985,127.03681939510288
203,NODE,강남구,수서동,37.4863691331325,127.10521335366077
204,NODE,강남구,개포동,37.48607023900081,127.06783756243729
205,NODE,강남구,대치동,37.50539383317349,127.06467714120821
206,NODE,강남구,대치동,37.50521530408768,127.0647172046534
207,NODE,강남구,도곡동,37.4858078131035,127.04170811421666
208,NODE,강남구,일원동,37.496581415342504,127.08854553506116
209,NODE,강남구,일원동,37.49656554814149,127.08834157990734
210,LINK,강남구,일원동,37.49107749388699,127.08105865817531
211,NODE,강남구,개포동,37.494798854416985,127.07912640662194
212,NODE,강남구,삼성동,37.50714469561408,127.05680102116932
213,LINK,강남구,일원동,37.496510622841186,127.08834151520759
214,NODE,강남구,일원동,37.492575551732536,127.08443397687255
215,LINK,강남구,개포동,37.483576810573545,127.05970502660736
216,LINK,강남구,개포동,37.48354638434166,127.06350585579946
217,NODE,강남구,일원동,37.49224229243711,127.08354562126104
218,LINK,강남구,대치동,37.490828015048486,127.0647418118573
219,LINK,강남구,대치동,37.50428530878848,127.06202186546648
220,NODE,강남구,수서동,37.48464803334868,127.09299585226329
221,NODE,강남구,일원동,37.49444367134693,127.08230706297935
222,LINK,강남구,일원동,37.49088989525499,127.08096654739522
223,LINK,강남구,개포동,37.48577770038035,127.0754124217707
224,LINK,강남구,논현동,37.51083699986733,127.03204865252147
225,NODE,강남구,압구정동,37.52831740208933,127.03934025900332
226,NODE,강남구,일원동,37.494795852144755,127.08267510083361
227,NODE,강남구,일원동,37.49458754133356,127.08274955018274
228,LINK,강남구,개포동,37.48764118346997,127.0700590409394
229,LINK,강남구,삼성동,37.51754319012025,127.04397508674052
230,NODE,강남구,개포동,37.48256785706499,127.06988331404143
231,NODE,강남구,개포동,37.47930775436375,127.0508599931226
232,NODE,강남구,청담동,37.52153114874304,127.04900875745199
233,NODE,강남구,대치동,37.49220679915443,127.06468575396765
234,NODE,강남구,대치동,37.49206514371406,127.06425480600363
235,NODE,강남구,대치동,37.490196847331354,127.06151944462303
236,NODE,강남구,대치동,37.49027437439685,127.06206233576266
237,NODE,강남구,대치동,37.49030570662954,127.06339501825144
238,NODE,강남구,대치동,37.491243338272355,127.06464519182732
239,NODE,강남구,대치동,37.49146737088537,127.0650934401669
240,NODE,강남구,개포동,37.48916932178489,127.06570032297734
241,NODE,강남구,삼성동,37.51519674682739,127.06635896478616
242,NODE,강남구,삼성동,37.515567336332126,127.06663510787834
