노드링크 유형,시군구명,읍면동명,위도,경도
NODE,노원구,하계동,37.631810007,127.06730246
NODE,노원구,상계동,37.661620115,127.07065497
LINK,노원구,공릉동,37.622272005,127.07412211
LINK,노원구,상계동,37.654823233,127.05721707
LINK,노원구,상계동,37.66118734,127.05843459
LINK,노원구,상계동,37.661563279,127.06188236
NODE,노원구,하계동,37.636381515,127.07083107
LINK,노원구,공릉동,37.627974951,127.08480297
NODE,노원구,공릉동,37.623045945,127.08092322
NODE,노원구,월계동,37.618473132,127.05734395
NODE,노원구,공릉동,37.623052869,127.080774
NODE,노원구,월계동,37.619118206,127.05792849
LINK,노원구,중계동,37.646575506,127.08107635
LINK,노원구,중계동,37.6614579,127.07570257
NODE,노원구,월계동,37.619180062,127.05779331
NODE,노원구,하계동,37.631794864,127.06973397
LINK,노원구,상계동,37.664436027,127.0570773
NODE,노원구,공릉동,37.623515292,127.09029822
LINK,노원구,하계동,37.630903224,127.07393214
NODE,노원구,공릉동,37.627699551,127.09625896
LINK,노원구,상계동,37.655574521,127.06001111
LINK,노원구,공릉동,37.625444534,127.07306642
LINK,노원구,상계동,37.665498381,127.07585676
NODE,노원구,공릉동,37.626343214,127.09533934
LINK,노원구,상계동,37.661040493,127.07123196
NODE,노원구,공릉동,37.625538752,127.09397735
NODE,노원구,공릉동,37.625731119,127.09381071
NODE,노원구,공릉동,37.626499013,127.09511511
NODE,노원구,하계동,37.635399474,127.07128481
NODE,노원구,공릉동,37.622306214,127.0743106
NODE,노원구,공릉동,37.620901035,127.07436675
NODE,노원구,공릉동,37.627423649,127.0719246
LINK,노원구,중계동,37.650336244,127.07130057
LINK,노원구,하계동,37.642918732,127.07187178
NODE,노원구,공릉동,37.628945375,127.06829259
LINK,노원구,상계동,37.658427398,127.06540988
NODE,노원구,상계동,37.656935863,127.06567573
LINK,노원구,상계동,37.665488034,127.07288439
NODE,노원구,중계동,37.656576835,127.07824713
LINK,노원구,상계동,37.68251357,127.05544552
LINK,노원구,중계동,37.643060944,127.06237055
LINK,노원구,하계동,37.631220621,127.0732289
LINK,노원구,중계동,37.64919121,127.07667338
LINK,노원구,중계동,37.638899461,127.06690452
LINK,노원구,공릉동,37.627471594,127.07211024
LINK,노원구,상계동,37.666937857,127.07090224
LINK,노원구,공릉동,37.624851226,127.07975844
NODE,노원구,공릉동,37.629016202,127.06849408
NODE,노원구,중계동,37.639143033,127.06424522
NODE,노원구,상계동,37.666981312,127.07094547
LINK,노원구,상계동,37.654169384,127.06088738
LINK,노원구,월계동,37.62301774,127.06038001
NODE,노원구,상계동,37.666894401,127.07085902
LINK,노원구,공릉동,37.622096483,127.08851791
LINK,노원구,상계동,37.678473286,127.05536909
NODE,노원구,상계동,37.668029143,127.06439982
LINK,노원구,상계동,37.664471396,127.06604336
NODE,노원구,공릉동,37.617506033,127.07594007
NODE,노원구,하계동,37.632517502,127.07251078
LINK,노원구,상계동,37.669923144,127.05951721
NODE,노원구,하계동,37.631872345,127.07028653
NODE,노원구,중계동,37.649028478,127.08075128
NODE,노원구,중계동,37.64899404,127.08096973
LINK,노원구,중계동,37.654662067,127.07447441
NODE,노원구,공릉동,37.625478747,127.07325204
NODE,노원구,상계동,37.665522328,127.07293912
NODE,노원구,하계동,37.632556328,127.07263743
NODE,노원구,상계동,37.682193106,127.05560941
NODE,노원구,하계동,37.631968777,127.06975715
NODE,노원구,상계동,37.669500429,127.08064289
LINK,노원구,월계동,37.628363009,127.05875404
LINK,노원구,하계동,37.6401473,127.073207
NODE,노원구,상계동,37.664773368,127.07394021
NODE,노원구,상계동,37.664702477,127.07385666
LINK,노원구,상계동,37.667241804,127.07878067
NODE,노원구,상계동,37.665453741,127.07282966
LINK,노원구,상계동,37.652674467,127.06792379
NODE,노원구,하계동,37.63886671,127.07574463
LINK,노원구,하계동,37.637305125,127.07049813
NODE,노원구,하계동,37.63898569,127.07540585
NODE,노원구,중계동,37.641918092,127.06811928
NODE,노원구,중계동,37.642658248,127.06778137
NODE,노원구,하계동,37.636268823,127.06788346
NODE,노원구,하계동,37.640944806,127.07614883
NODE,노원구,중계동,37.660585637,127.07541153
NODE,노원구,상계동,37.658356662,127.06529203
NODE,노원구,월계동,37.619553738,127.06348649
NODE,노원구,공릉동,37.628713192,127.0700735
LINK,노원구,공릉동,37.625936694,127.07285542
NODE,노원구,상계동,37.652698943,127.06807141
NODE,노원구,상계동,37.651017562,127.06857786
NODE,노원구,상계동,37.650889473,127.06827569
NODE,노원구,중계동,37.650638162,127.06868735
NODE,노원구,상계동,37.661579779,127.06176569
NODE,노원구,상계동,37.661546779,127.06199903
LINK,노원구,하계동,37.636367017,127.06824902
NODE,노원구,상계동,37.662887941,127.06153931
LINK,노원구,중계동,37.648129026,127.08068993
NODE,노원구,상계동,37.66007131,127.07265055
NODE,노원구,상계동,37.662911298,127.06178156
NODE,노원구,중계동,37.64272237,127.06798489
LINK,노원구,중계동,37.646620224,127.07015352
NODE,노원구,하계동,37.638752992,127.07499778
NODE,노원구,상계동,37.660165825,127.07246354
NODE,노원구,상계동,37.66019165,127.07233402
NODE,노원구,상계동,37.66008015,127.07222956
LINK,노원구,하계동,37.631502574,127.07153431
LINK,노원구,상계동,37.671330717,127.08213052
LINK,노원구,상계동,37.665203539,127.06215183
NODE,노원구,월계동,37.623867111,127.06841095
NODE,노원구,상계동,37.660722113,127.06197497
NODE,노원구,월계동,37.623787174,127.06813466
NODE,노원구,월계동,37.623416351,127.06828106
