학원명,도로명주소,위도,경도,정원합계,일시수용능력인원합계,어린이보호구역여부,인원,근처학원수,근처수강생총합,근처휴게음식점수,근처횡단보도수,사고건수
피아니스트음악학원,서울특별시 노원구 덕릉로77길 8,37.655024,127.0735727,60,59,0.0,59.0,173.0,8950.0,39.0,66.0,5.0
옛동무그림이야기미술학원,서울특별시 노원구 동일로230길 39,37.6729841,127.0592029,23,58,0.0,23.0,22.0,1438.0,26.0,26.0,11.0
최진혁수학학원,서울특별시 노원구 한글비석로 253,37.6504239,127.0763502,336,72,0.0,72.0,478.0,60113.0,59.0,76.0,2.0
난파음악학원,서울특별시 노원구 화랑로51길 38,37.6249914,127.0890791,1,48,0.0,1.0,32.0,828.0,20.0,70.0,11.0
두드림에듀학원,서울특별시 노원구 중계로 220,37.6508775,127.0756868,86,99,0.0,86.0,470.0,59861.0,54.0,75.0,2.0
생각하는황소영어학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,159,89,0.0,89.0,472.0,60462.0,62.0,78.0,2.0
더와이즈(The whys)학원,서울특별시 노원구 한글비석로 265,37.6514461,127.0765554,390,77,0.0,77.0,477.0,60254.0,57.0,77.0,2.0
강북청솔학원,서울특별시 노원구 한글비석로 242,37.6493084,127.0769639,6565,819,0.0,819.0,474.0,59451.0,59.0,66.0,2.0
손호심국어학원,서울특별시 노원구 중계로 217,37.6504871,127.0759853,162,107,0.0,107.0,488.0,60310.0,58.0,74.0,2.0
이앤아이음악교습소,서울특별시 노원구 공릉로34길 62,37.6234994,127.0831875,40,5,0.0,5.0,88.0,2761.0,44.0,68.0,12.0
하늘높이영수학원,서울특별시 노원구 덕릉로 740,37.6636282,127.0764046,32,87,0.0,32.0,42.0,1277.0,37.0,53.0,10.0
예뜰음악교습소,서울특별시 노원구 동일로191가길 59,37.627544,127.0699862,44,4,0.0,4.0,33.0,11497.0,25.0,74.0,8.0
수학에미친사람들중계관학원,서울특별시 노원구 중계로 219,37.6504923,127.0756701,375,135,1.0,135.0,481.0,59997.0,57.0,72.0,2.0
해냄학원,서울특별시 노원구 한글비석로 264,37.6509746,127.0771635,60,77,0.0,60.0,472.0,60491.0,62.0,78.0,2.0
English무무중계학원,서울특별시 노원구 한글비석로 363,37.6579097,127.0744272,191,107,0.0,107.0,73.0,4659.0,54.0,80.0,7.0
장현학수학교습소,서울특별시 노원구 한글비석로 571,37.6641843,127.0546598,42,7,0.0,7.0,78.0,3205.0,20.0,50.0,3.0
하이퍼과학교습소,서울특별시 노원구 중계로18길 17,37.6515236,127.0778413,5,5,0.0,5.0,466.0,60432.0,65.0,80.0,2.0
CRI창의학원,서울특별시 노원구 동일로203가길 29,37.6399359,127.0642574,56,73,0.0,56.0,61.0,2879.0,40.0,75.0,6.0
