,Unnamed: 0,도로명주소,업태구분명,좌표
673,673,"서울특별시 광진구 광나루로17길 14-5, 1층 (군자동)",커피숍,"37.5487957, 127.0727108"
674,674,"서울특별시 광진구 아차산로73길 44, 1층 (광장동)",일반조리판매,"37.5463502, 127.1032694"
675,675,"서울특별시 광진구 자양로 92, 1층 (자양동)",커피숍,"37.5287142, 127.0883594"
677,677,"서울특별시 광진구 면목로 137-1, 1층 (중곡동)",커피숍,"37.5607168, 127.0784142"
678,678,"서울특별시 광진구 광나루로 380, 1층 (화양동, 외 1필지)",커피숍,"37.54006, 127.09724"
679,679,"서울특별시 광진구 자양로18길 39, 1층 (구의동)",일반조리판매,"37.5381339, 127.0865345"
680,680,"서울특별시 광진구 천호대로137길 10, 1층 (구의동)",커피숍,"37.5499436, 127.0932787"
681,681,"서울특별시 광진구 구의강변로 96, 상가동 1층 106호 (구의동)",일반조리판매,"37.53552, 127.09211"
684,684,"서울특별시 광진구 자양로 85, 1층 (자양동)",커피숍,"37.5287142, 127.0883594"
685,685,"서울특별시 광진구 자양로 81, 1층 (자양동)",커피숍,"37.5287142, 127.0883594"
686,686,"서울특별시 광진구 광나루로 441 (능동, 어린이회관 수영장)",일반조리판매,"37.5468262, 127.0766379"
688,688,"서울특별시 광진구 군자로 96, 1층 (군자동)",패스트푸드,"37.5433395, 127.071636"
689,689,"서울특별시 광진구 자양로26길 15, 1층 (구의동)",커피숍,"37.5410325, 127.086969"
690,690,"서울특별시 광진구 동일로20길 72, 1층 (자양동)",커피숍,"37.5405118, 127.0668855"
691,691,"서울특별시 광진구 자양로 46, 101호 (자양동)",커피숍,"37.5287142, 127.0883594"
692,692,"서울특별시 광진구 용마산로21길 34, 지층 (중곡동)",커피숍,"37.5620507, 127.0850268"
693,693,"서울특별시 광진구 광나루로36길 68, 1층 (구의동)",커피숍,"37.5435491, 127.0864008"
694,694,"서울특별시 광진구 능동로 216, 1층 (능동, 서울상상나라)",커피숍,"37.5340314, 127.0678046"
695,695,"서울특별시 광진구 뚝섬로36길 48-1, 1층 (자양동)",일반조리판매,"37.5332843, 127.0711738"
696,696,"서울특별시 광진구 자양로 228, 1층 (구의동)",커피숍,"37.5287142, 127.0883594"
697,697,"서울특별시 광진구 아차산로78길 7, 지층 104호 (광장동)",커피숍,"37.5478992, 127.10863"
699,699,"서울특별시 광진구 뚝섬로32길 39, 1층 (자양동)",커피숍,"37.5346978, 127.067068"
700,700,"서울특별시 광진구 능동로 92, 지층 (자양동)",일반조리판매,"37.538956049999996, 127.07142585170553"
702,702,"서울특별시 광진구 아차산로 291, 1층 (자양동)",커피숍,"37.538847, 127.0919729"
703,703,"서울특별시 광진구 면목로 142-1, 2층 (중곡동)",키즈카페,"37.5607168, 127.0784142"
704,704,"서울특별시 광진구 광나루로36길 60, 1층 (구의동)",일반조리판매,"37.5435491, 127.0864008"
705,705,"서울특별시 광진구 강변역로4길 56, 1층 108호 (구의동)",커피숍,"37.53441, 127.09268"
706,706,"서울특별시 광진구 군자로 79, 1층 (군자동)",일반조리판매,"37.5433395, 127.071636"
707,707,"서울특별시 광진구 아차산로73길 48, 1층 (광장동)",과자점,"37.5466931, 127.1024213"
708,708,"서울특별시 광진구 자양로3길 24, 1층 (자양동)",커피숍,"37.5305798, 127.0839974"
709,709,"서울특별시 광진구 아차산로 236, 1층,2층,3층,4층 (자양동)",커피숍,"37.538847, 127.0919729"
710,710,"서울특별시 광진구 워커힐로 177, 1층 (광장동)",커피숍,"37.5553271, 127.1101533"
711,711,"서울특별시 광진구 자양로18길 59, 2층 (구의동)",일반조리판매,"37.5381339, 127.0865345"
712,712,"서울특별시 광진구 자양로26길 15, 1층 (구의동)",커피숍,"37.5410325, 127.086969"
713,713,"서울특별시 광진구 자양로 235, 2층 (구의동)",일반조리판매,"37.5287142, 127.0883594"
